"filename", "language", "Dart", "comment", "blank", "total"
"d:\th_laptrinhdidong\banhat\lib\app.dart", "Dart", 23, 2, 5, 30
"d:\th_laptrinhdidong\banhat\lib\bindings\product_bindings.dart", "Dart", 9, 0, 2, 11
"d:\th_laptrinhdidong\banhat\lib\container\root_layout.dart", "Dart", 42, 0, 4, 46
"d:\th_laptrinhdidong\banhat\lib\controller\app_bar_controller.dart", "Dart", 7, 0, 3, 10
"d:\th_laptrinhdidong\banhat\lib\controller\bottom_nav_controller.dart", "Dart", 8, 2, 4, 14
"d:\th_laptrinhdidong\banhat\lib\controller\product_controller.dart", "Dart", 70, 16, 22, 108
"d:\th_laptrinhdidong\banhat\lib\data\models\category_model.dart", "Dart", 20, 2, 3, 25
"d:\th_laptrinhdidong\banhat\lib\data\models\params_model.dart", "Dart", 23, 0, 3, 26
"d:\th_laptrinhdidong\banhat\lib\data\models\product_model.dart", "Dart", 31, 0, 4, 35
"d:\th_laptrinhdidong\banhat\lib\data\services\product_services.dart", "Dart", 100, 3, 15, 118
"d:\th_laptrinhdidong\banhat\lib\main.dart", "Dart", 5, 0, 2, 7
"d:\th_laptrinhdidong\banhat\lib\page\product_create_page.dart", "Dart", 158, 0, 7, 165
"d:\th_laptrinhdidong\banhat\lib\page\product_details_page.dart", "Dart", 159, 4, 10, 173
"d:\th_laptrinhdidong\banhat\lib\page\product_page.dart", "Dart", 39, 0, 4, 43
"d:\th_laptrinhdidong\banhat\lib\page\product_page_api_call.dart", "Dart", 8, 0, 2, 10
"d:\th_laptrinhdidong\banhat\lib\widgets\bottom_nav\bottom_navigation.dart", "Dart", 23, 0, 4, 27
"d:\th_laptrinhdidong\banhat\lib\widgets\custom_input\custom_input.dart", "Dart", 51, 0, 5, 56
"d:\th_laptrinhdidong\banhat\lib\widgets\parralel\parralel.dart", "Dart", 21, 0, 4, 25
"d:\th_laptrinhdidong\banhat\lib\widgets\product_card\product_card.dart", "Dart", 62, 0, 3, 65
"d:\th_laptrinhdidong\banhat\lib\widgets\update_form.dart\update_form.dart", "Dart", 0, 0, 1, 1
"Total", "-", 859, 29, 107, 995